
rep 0
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
/root/miniconda3/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: RK4: Unexpected arguments {'max_iters': 100}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.01882477235894058, 'decay': 0.02466898106256942, 'dataset': 'texas', 'data_norm': 'gcn', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'constant', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.4662723384814147, 'dropout': 0.4772766211800558, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': True, 'add_source': False, 'XN_activation': False, 'm2_mlp': False, 'time': 2.42, 'augment': False, 'method': 'rk4', 'step_size': 0.2, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1703])
m1.bias
torch.Size([256])
m11.weight
torch.Size([256, 256])
m11.bias
torch.Size([256])
m12.weight
torch.Size([256, 256])
m12.bias
torch.Size([256])
m2.weight
torch.Size([5, 256])
m2.bias
torch.Size([5])
odeblock.odefunc.alpha_train
torch.Size([1, 256])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
Epoch: 1, Runtime: 0.2171, Loss: 1.620, forward nfe 52, backward nfe 0, tmp_train: 0.5400, tmp_val: 0.7600, tmp_test: 0.6386, Train: 0.5400, Val: 0.7600, Test: 0.6386, Best time: 2.4200
Epoch: 2, Runtime: 0.1909, Loss: 3.518, forward nfe 156, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1200, tmp_test: 0.1566, Train: 0.5400, Val: 0.7600, Test: 0.6386, Best time: 2.4200
Epoch: 3, Runtime: 0.2090, Loss: 10.862, forward nfe 260, backward nfe 0, tmp_train: 0.2400, tmp_val: 0.0600, tmp_test: 0.1325, Train: 0.5400, Val: 0.7600, Test: 0.6386, Best time: 2.4200
Epoch: 4, Runtime: 0.2063, Loss: 3.859, forward nfe 364, backward nfe 0, tmp_train: 0.5600, tmp_val: 0.7400, tmp_test: 0.6386, Train: 0.5400, Val: 0.7600, Test: 0.6386, Best time: 2.4200
Epoch: 5, Runtime: 0.1929, Loss: 3.377, forward nfe 468, backward nfe 0, tmp_train: 0.4400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.5400, Val: 0.7600, Test: 0.6386, Best time: 2.4200
Epoch: 6, Runtime: 0.3453, Loss: 3.005, forward nfe 572, backward nfe 0, tmp_train: 0.4400, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.5400, Val: 0.7600, Test: 0.6386, Best time: 2.4200
Epoch: 7, Runtime: 0.2225, Loss: 3.296, forward nfe 676, backward nfe 0, tmp_train: 0.4000, tmp_val: 0.1000, tmp_test: 0.1687, Train: 0.5400, Val: 0.7600, Test: 0.6386, Best time: 2.4200
Epoch: 8, Runtime: 0.1971, Loss: 3.008, forward nfe 780, backward nfe 0, tmp_train: 0.4600, tmp_val: 0.1200, tmp_test: 0.1566, Train: 0.5400, Val: 0.7600, Test: 0.6386, Best time: 2.4200
Epoch: 9, Runtime: 0.1979, Loss: 3.025, forward nfe 884, backward nfe 0, tmp_train: 0.7400, tmp_val: 0.5400, tmp_test: 0.5060, Train: 0.5400, Val: 0.7600, Test: 0.6386, Best time: 2.4200
Epoch: 10, Runtime: 0.2128, Loss: 2.616, forward nfe 988, backward nfe 0, tmp_train: 0.5600, tmp_val: 0.6600, tmp_test: 0.6506, Train: 0.5400, Val: 0.7600, Test: 0.6386, Best time: 2.4200
Epoch: 11, Runtime: 0.3055, Loss: 3.514, forward nfe 1092, backward nfe 0, tmp_train: 0.6400, tmp_val: 0.6800, tmp_test: 0.6506, Train: 0.5400, Val: 0.7600, Test: 0.6386, Best time: 2.4200
Epoch: 12, Runtime: 0.2095, Loss: 2.348, forward nfe 1196, backward nfe 0, tmp_train: 0.6600, tmp_val: 0.3000, tmp_test: 0.4337, Train: 0.5400, Val: 0.7600, Test: 0.6386, Best time: 2.4200
Epoch: 13, Runtime: 0.2115, Loss: 2.237, forward nfe 1300, backward nfe 0, tmp_train: 0.7600, tmp_val: 0.3000, tmp_test: 0.4096, Train: 0.5400, Val: 0.7600, Test: 0.6386, Best time: 2.4200
Epoch: 14, Runtime: 0.2135, Loss: 3.285, forward nfe 1404, backward nfe 0, tmp_train: 0.9200, tmp_val: 0.6000, tmp_test: 0.6024, Train: 0.5400, Val: 0.7600, Test: 0.6386, Best time: 2.4200
Epoch: 15, Runtime: 0.2149, Loss: 1.597, forward nfe 1508, backward nfe 0, tmp_train: 0.8000, tmp_val: 0.5600, tmp_test: 0.5422, Train: 0.5400, Val: 0.7600, Test: 0.6386, Best time: 2.4200
Epoch: 16, Runtime: 0.2170, Loss: 2.829, forward nfe 1612, backward nfe 0, tmp_train: 0.7800, tmp_val: 0.6400, tmp_test: 0.6386, Train: 0.5400, Val: 0.7600, Test: 0.6386, Best time: 2.4200
Epoch: 17, Runtime: 0.2058, Loss: 2.649, forward nfe 1716, backward nfe 0, tmp_train: 0.6600, tmp_val: 0.7200, tmp_test: 0.6024, Train: 0.5400, Val: 0.7600, Test: 0.6386, Best time: 2.4200
Epoch: 18, Runtime: 0.2120, Loss: 2.117, forward nfe 1820, backward nfe 0, tmp_train: 0.8000, tmp_val: 0.6200, tmp_test: 0.6867, Train: 0.5400, Val: 0.7600, Test: 0.6386, Best time: 2.4200
Epoch: 19, Runtime: 0.2960, Loss: 1.424, forward nfe 1924, backward nfe 0, tmp_train: 0.8600, tmp_val: 0.5200, tmp_test: 0.5663, Train: 0.5400, Val: 0.7600, Test: 0.6386, Best time: 2.4200
Epoch: 20, Runtime: 0.2245, Loss: 1.098, forward nfe 2028, backward nfe 0, tmp_train: 0.9600, tmp_val: 0.5800, tmp_test: 0.6024, Train: 0.5400, Val: 0.7600, Test: 0.6386, Best time: 2.4200
Epoch: 21, Runtime: 0.2304, Loss: 1.803, forward nfe 2132, backward nfe 0, tmp_train: 0.8800, tmp_val: 0.5800, tmp_test: 0.6024, Train: 0.5400, Val: 0.7600, Test: 0.6386, Best time: 2.4200
