/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.4, 'augment': False, 'method': 'rk4', 'step_size': 0.30000000000000004, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gauss', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep-cora-gauss', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m2.m21.weight
torch.Size([128, 128])
m2.m21.bias
torch.Size([128])
m2.m22.weight
torch.Size([7, 128])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 128])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 1.1159, Loss: 1.950, forward nfe 32, backward nfe 0, tmp_train: 0.2000, tmp_val: 0.1537, tmp_test: 0.1340, Train: 0.2000, Val: 0.1537, Test: 0.1340, Best time: 2.4000
Epoch: 2, Runtime: 0.2051, Loss: 1.894, forward nfe 96, backward nfe 0, tmp_train: 0.6714, tmp_val: 0.4956, tmp_test: 0.5117, Train: 0.6714, Val: 0.4956, Test: 0.5117, Best time: 2.4000
Epoch: 3, Runtime: 0.2506, Loss: 1.843, forward nfe 160, backward nfe 0, tmp_train: 0.7714, tmp_val: 0.6537, tmp_test: 0.6416, Train: 0.7714, Val: 0.6537, Test: 0.6416, Best time: 2.4000
Epoch: 4, Runtime: 0.2078, Loss: 1.792, forward nfe 224, backward nfe 0, tmp_train: 0.8500, tmp_val: 0.7074, tmp_test: 0.6904, Train: 0.8500, Val: 0.7074, Test: 0.6904, Best time: 2.4000
Epoch: 5, Runtime: 0.2177, Loss: 1.700, forward nfe 288, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.7331, tmp_test: 0.7249, Train: 0.8786, Val: 0.7331, Test: 0.7249, Best time: 2.4000
Epoch: 6, Runtime: 0.2426, Loss: 1.564, forward nfe 352, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.7574, tmp_test: 0.7563, Train: 0.9143, Val: 0.7574, Test: 0.7563, Best time: 2.4000
Epoch: 7, Runtime: 0.2222, Loss: 1.405, forward nfe 416, backward nfe 0, tmp_train: 0.9286, tmp_val: 0.7676, tmp_test: 0.7655, Train: 0.9286, Val: 0.7676, Test: 0.7655, Best time: 2.4000
Epoch: 8, Runtime: 0.2518, Loss: 1.358, forward nfe 480, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7787, tmp_test: 0.7695, Train: 0.9571, Val: 0.7787, Test: 0.7695, Best time: 2.4000
Epoch: 9, Runtime: 0.2206, Loss: 1.307, forward nfe 544, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8015, tmp_test: 0.7817, Train: 0.9929, Val: 0.8015, Test: 0.7817, Best time: 2.4000
Epoch: 10, Runtime: 0.2100, Loss: 1.213, forward nfe 608, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8169, tmp_test: 0.7939, Train: 0.9857, Val: 0.8169, Test: 0.7939, Best time: 2.4000
Epoch: 11, Runtime: 0.2247, Loss: 0.991, forward nfe 672, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8154, tmp_test: 0.7990, Train: 0.9857, Val: 0.8169, Test: 0.7939, Best time: 2.4000
Epoch: 12, Runtime: 0.2281, Loss: 0.986, forward nfe 736, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8206, tmp_test: 0.8061, Train: 0.9929, Val: 0.8206, Test: 0.8061, Best time: 2.4000
Epoch: 13, Runtime: 0.2184, Loss: 1.067, forward nfe 800, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8221, tmp_test: 0.8061, Train: 1.0000, Val: 0.8221, Test: 0.8061, Best time: 2.4000
Epoch: 14, Runtime: 0.2579, Loss: 0.997, forward nfe 864, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8191, tmp_test: 0.8010, Train: 1.0000, Val: 0.8221, Test: 0.8061, Best time: 2.4000
Epoch: 15, Runtime: 0.2359, Loss: 0.914, forward nfe 928, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8066, tmp_test: 0.7898, Train: 1.0000, Val: 0.8221, Test: 0.8061, Best time: 2.4000
Epoch: 16, Runtime: 0.1975, Loss: 0.941, forward nfe 992, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8044, tmp_test: 0.7848, Train: 1.0000, Val: 0.8221, Test: 0.8061, Best time: 2.4000
Epoch: 17, Runtime: 0.2230, Loss: 0.833, forward nfe 1056, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8029, tmp_test: 0.7929, Train: 1.0000, Val: 0.8221, Test: 0.8061, Best time: 2.4000
Epoch: 18, Runtime: 0.2347, Loss: 0.729, forward nfe 1120, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8074, tmp_test: 0.8030, Train: 1.0000, Val: 0.8221, Test: 0.8061, Best time: 2.4000
Epoch: 19, Runtime: 0.2373, Loss: 0.922, forward nfe 1184, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8250, tmp_test: 0.8091, Train: 1.0000, Val: 0.8250, Test: 0.8091, Best time: 2.4000
Epoch: 20, Runtime: 0.2549, Loss: 0.770, forward nfe 1248, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8147, tmp_test: 0.8071, Train: 1.0000, Val: 0.8250, Test: 0.8091, Best time: 2.4000
Epoch: 21, Runtime: 0.2035, Loss: 0.763, forward nfe 1312, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8147, tmp_test: 0.8030, Train: 1.0000, Val: 0.8250, Test: 0.8091, Best time: 2.4000
Epoch: 22, Runtime: 0.2214, Loss: 0.787, forward nfe 1376, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8118, tmp_test: 0.8112, Train: 1.0000, Val: 0.8250, Test: 0.8091, Best time: 2.4000
Epoch: 23, Runtime: 0.2629, Loss: 0.700, forward nfe 1440, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8074, tmp_test: 0.8061, Train: 1.0000, Val: 0.8250, Test: 0.8091, Best time: 2.4000
Epoch: 24, Runtime: 0.2215, Loss: 0.664, forward nfe 1504, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7934, tmp_test: 0.7959, Train: 1.0000, Val: 0.8250, Test: 0.8091, Best time: 2.4000
