
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.01, 'augment': False, 'method': 'rk4', 'step_size': 0.45, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m2.m21.weight
torch.Size([128, 128])
m2.m21.bias
torch.Size([128])
m2.m22.weight
torch.Size([7, 128])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 128])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 0.1889, Loss: 1.957, forward nfe 20, backward nfe 0, tmp_train: 0.2643, tmp_val: 0.1669, tmp_test: 0.1980, Train: 0.2643, Val: 0.1669, Test: 0.1980, Best time: 2.0100
Epoch: 78, Runtime: 0.1001, Loss: 0.626, forward nfe 3100, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7882, tmp_test: 0.8091, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 79, Runtime: 0.1219, Loss: 0.730, forward nfe 3140, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7875, tmp_test: 0.8051, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 80, Runtime: 0.1097, Loss: 0.684, forward nfe 3180, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7934, tmp_test: 0.8020, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 81, Runtime: 0.1059, Loss: 0.612, forward nfe 3220, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7919, tmp_test: 0.8010, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 82, Runtime: 0.1037, Loss: 0.645, forward nfe 3260, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7963, tmp_test: 0.8041, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 83, Runtime: 0.1044, Loss: 0.570, forward nfe 3300, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8000, tmp_test: 0.8061, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 84, Runtime: 0.1017, Loss: 0.593, forward nfe 3340, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7993, tmp_test: 0.8010, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 85, Runtime: 0.1082, Loss: 0.678, forward nfe 3380, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7941, tmp_test: 0.7959, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 86, Runtime: 0.1071, Loss: 0.665, forward nfe 3420, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7868, tmp_test: 0.7919, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 87, Runtime: 0.1073, Loss: 0.589, forward nfe 3460, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7846, tmp_test: 0.7888, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 88, Runtime: 0.1067, Loss: 0.674, forward nfe 3500, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7801, tmp_test: 0.7878, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 89, Runtime: 0.1048, Loss: 0.581, forward nfe 3540, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7838, tmp_test: 0.7888, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 90, Runtime: 0.1038, Loss: 0.700, forward nfe 3580, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7816, tmp_test: 0.7898, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 91, Runtime: 0.1035, Loss: 0.740, forward nfe 3620, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7824, tmp_test: 0.7898, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 92, Runtime: 0.1034, Loss: 0.788, forward nfe 3660, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7809, tmp_test: 0.7939, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 93, Runtime: 0.1054, Loss: 0.618, forward nfe 3700, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7838, tmp_test: 0.7858, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 94, Runtime: 0.0963, Loss: 0.683, forward nfe 3740, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7794, tmp_test: 0.7878, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 95, Runtime: 0.0959, Loss: 0.661, forward nfe 3780, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7787, tmp_test: 0.7949, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 96, Runtime: 0.0921, Loss: 0.774, forward nfe 3820, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7801, tmp_test: 0.7939, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 97, Runtime: 0.0981, Loss: 0.686, forward nfe 3860, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7779, tmp_test: 0.7888, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 98, Runtime: 0.0948, Loss: 0.660, forward nfe 3900, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7743, tmp_test: 0.7868, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 99, Runtime: 0.0996, Loss: 0.673, forward nfe 3940, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7765, tmp_test: 0.7898, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 100, Runtime: 0.1037, Loss: 0.667, forward nfe 3980, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7794, tmp_test: 0.7949, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 101, Runtime: 0.1018, Loss: 0.587, forward nfe 4020, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7904, tmp_test: 0.7939, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 102, Runtime: 0.1114, Loss: 0.682, forward nfe 4060, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7985, tmp_test: 0.8041, Train: 1.0000, Val: 0.8074, Test: 0.7949, Best time: 2.0100
Epoch: 103, Runtime: 0.1085, Loss: 0.745, forward nfe 4100, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8081, tmp_test: 0.8193, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 104, Runtime: 0.1036, Loss: 0.726, forward nfe 4140, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8066, tmp_test: 0.8162, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 105, Runtime: 0.1050, Loss: 0.642, forward nfe 4180, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8007, tmp_test: 0.8122, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 106, Runtime: 0.1055, Loss: 0.725, forward nfe 4220, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7949, tmp_test: 0.7990, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 107, Runtime: 0.0987, Loss: 0.707, forward nfe 4260, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7868, tmp_test: 0.7959, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 108, Runtime: 0.0841, Loss: 0.696, forward nfe 4300, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7735, tmp_test: 0.7858, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 109, Runtime: 0.0938, Loss: 0.695, forward nfe 4340, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7676, tmp_test: 0.7787, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 110, Runtime: 0.0980, Loss: 0.617, forward nfe 4380, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7706, tmp_test: 0.7868, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 111, Runtime: 0.1230, Loss: 0.840, forward nfe 4420, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7787, tmp_test: 0.7970, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 112, Runtime: 0.1087, Loss: 0.650, forward nfe 4460, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7846, tmp_test: 0.7980, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 113, Runtime: 0.0924, Loss: 0.730, forward nfe 4500, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7897, tmp_test: 0.8071, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 114, Runtime: 0.0984, Loss: 0.614, forward nfe 4540, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7978, tmp_test: 0.8173, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 115, Runtime: 0.0988, Loss: 0.676, forward nfe 4580, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7978, tmp_test: 0.8132, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 116, Runtime: 0.0838, Loss: 0.810, forward nfe 4620, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7934, tmp_test: 0.8091, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 117, Runtime: 0.0920, Loss: 0.662, forward nfe 4660, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7846, tmp_test: 0.8051, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 118, Runtime: 0.0966, Loss: 0.638, forward nfe 4700, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7757, tmp_test: 0.8030, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 119, Runtime: 0.1033, Loss: 0.686, forward nfe 4740, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7684, tmp_test: 0.7980, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 120, Runtime: 0.1041, Loss: 0.692, forward nfe 4780, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7669, tmp_test: 0.7949, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 121, Runtime: 0.0915, Loss: 0.591, forward nfe 4820, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7743, tmp_test: 0.7990, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 122, Runtime: 0.1132, Loss: 0.634, forward nfe 4860, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7801, tmp_test: 0.8041, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 123, Runtime: 0.0894, Loss: 0.570, forward nfe 4900, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7779, tmp_test: 0.8061, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 124, Runtime: 0.0969, Loss: 0.687, forward nfe 4940, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7860, tmp_test: 0.8061, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 125, Runtime: 0.1030, Loss: 0.701, forward nfe 4980, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7868, tmp_test: 0.8132, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 126, Runtime: 0.0999, Loss: 0.611, forward nfe 5020, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7868, tmp_test: 0.8122, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 127, Runtime: 0.0970, Loss: 0.700, forward nfe 5060, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7875, tmp_test: 0.8081, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 128, Runtime: 0.0882, Loss: 0.863, forward nfe 5100, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7860, tmp_test: 0.8030, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 129, Runtime: 0.0893, Loss: 0.699, forward nfe 5140, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7838, tmp_test: 0.7980, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 130, Runtime: 0.1046, Loss: 0.714, forward nfe 5180, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7676, tmp_test: 0.7970, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 131, Runtime: 0.1107, Loss: 0.675, forward nfe 5220, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7632, tmp_test: 0.7929, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 132, Runtime: 0.0884, Loss: 0.730, forward nfe 5260, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7699, tmp_test: 0.7959, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 133, Runtime: 0.0911, Loss: 0.698, forward nfe 5300, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7831, tmp_test: 0.8030, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 134, Runtime: 0.1111, Loss: 0.643, forward nfe 5340, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7919, tmp_test: 0.8010, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 135, Runtime: 0.1103, Loss: 0.682, forward nfe 5380, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7926, tmp_test: 0.7959, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 136, Runtime: 0.1067, Loss: 0.714, forward nfe 5420, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7941, tmp_test: 0.7929, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 137, Runtime: 0.1055, Loss: 0.652, forward nfe 5460, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7860, tmp_test: 0.7898, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 138, Runtime: 0.1035, Loss: 0.662, forward nfe 5500, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7882, tmp_test: 0.7939, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 139, Runtime: 0.1096, Loss: 0.765, forward nfe 5540, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7809, tmp_test: 0.7909, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 140, Runtime: 0.1046, Loss: 0.636, forward nfe 5580, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7721, tmp_test: 0.7817, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 141, Runtime: 0.1099, Loss: 0.633, forward nfe 5620, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7743, tmp_test: 0.7858, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 142, Runtime: 0.1056, Loss: 0.774, forward nfe 5660, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7816, tmp_test: 0.7959, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 143, Runtime: 0.1034, Loss: 0.736, forward nfe 5700, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8000, tmp_test: 0.8030, Train: 1.0000, Val: 0.8081, Test: 0.8193, Best time: 2.0100
Epoch: 144, Runtime: 0.1024, Loss: 0.755, forward nfe 5740, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8191, tmp_test: 0.8152, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 145, Runtime: 0.1017, Loss: 0.787, forward nfe 5780, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8191, tmp_test: 0.8122, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 146, Runtime: 0.1059, Loss: 0.673, forward nfe 5820, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8103, tmp_test: 0.8081, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 147, Runtime: 0.1046, Loss: 0.667, forward nfe 5860, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7919, tmp_test: 0.7980, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 148, Runtime: 0.1280, Loss: 0.714, forward nfe 5900, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7743, tmp_test: 0.7878, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 149, Runtime: 0.1064, Loss: 0.763, forward nfe 5940, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7699, tmp_test: 0.7766, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 150, Runtime: 0.1112, Loss: 0.787, forward nfe 5980, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7713, tmp_test: 0.7827, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 151, Runtime: 0.1059, Loss: 0.820, forward nfe 6020, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7647, tmp_test: 0.7746, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 152, Runtime: 0.1028, Loss: 0.688, forward nfe 6060, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7669, tmp_test: 0.7777, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 153, Runtime: 0.0972, Loss: 0.754, forward nfe 6100, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7699, tmp_test: 0.7817, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 154, Runtime: 0.0876, Loss: 0.723, forward nfe 6140, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7728, tmp_test: 0.7878, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 155, Runtime: 0.0954, Loss: 0.792, forward nfe 6180, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7735, tmp_test: 0.7898, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 156, Runtime: 0.0958, Loss: 0.600, forward nfe 6220, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7765, tmp_test: 0.7970, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 157, Runtime: 0.0951, Loss: 0.871, forward nfe 6260, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7816, tmp_test: 0.7939, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 158, Runtime: 0.0994, Loss: 0.735, forward nfe 6300, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7853, tmp_test: 0.7990, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 159, Runtime: 0.1029, Loss: 0.661, forward nfe 6340, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7838, tmp_test: 0.8000, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 160, Runtime: 0.1044, Loss: 0.739, forward nfe 6380, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7853, tmp_test: 0.7980, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 161, Runtime: 0.1008, Loss: 0.647, forward nfe 6420, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7882, tmp_test: 0.8010, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 162, Runtime: 0.1076, Loss: 0.629, forward nfe 6460, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7919, tmp_test: 0.8010, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 163, Runtime: 0.1021, Loss: 0.692, forward nfe 6500, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7971, tmp_test: 0.8081, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 164, Runtime: 0.0992, Loss: 0.575, forward nfe 6540, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7978, tmp_test: 0.7990, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 165, Runtime: 0.1046, Loss: 0.662, forward nfe 6580, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7926, tmp_test: 0.7970, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 166, Runtime: 0.1114, Loss: 0.697, forward nfe 6620, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7963, tmp_test: 0.7980, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 167, Runtime: 0.1113, Loss: 0.617, forward nfe 6660, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8000, tmp_test: 0.8020, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 168, Runtime: 0.1038, Loss: 0.596, forward nfe 6700, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8007, tmp_test: 0.7990, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 169, Runtime: 0.1035, Loss: 0.690, forward nfe 6740, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7956, tmp_test: 0.8000, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 170, Runtime: 0.0927, Loss: 0.661, forward nfe 6780, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7904, tmp_test: 0.7970, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 171, Runtime: 0.1006, Loss: 0.766, forward nfe 6820, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7801, tmp_test: 0.7878, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 172, Runtime: 0.0999, Loss: 0.626, forward nfe 6860, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7779, tmp_test: 0.7909, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 173, Runtime: 0.0997, Loss: 0.743, forward nfe 6900, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7779, tmp_test: 0.7888, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
Epoch: 174, Runtime: 0.0913, Loss: 0.731, forward nfe 6940, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7868, tmp_test: 0.7858, Train: 1.0000, Val: 0.8191, Test: 0.8152, Best time: 2.0100
