
rep 0
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 32, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.24, 'augment': False, 'method': 'rk4', 'step_size': 0.1, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([32, 1433])
m1.bias
torch.Size([32])
m11.weight
torch.Size([32, 32])
m11.bias
torch.Size([32])
m12.weight
torch.Size([32, 32])
m12.bias
torch.Size([32])
m2.weight
torch.Size([7, 32])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 32])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([32])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([32])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([32, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([32])
Epoch: 1, Runtime: 0.5415, Loss: 1.951, forward nfe 92, backward nfe 0, tmp_train: 0.2714, tmp_val: 0.1265, tmp_test: 0.1513, Train: 0.2714, Val: 0.1265, Test: 0.1513, Best time: 2.2400
Epoch: 2, Runtime: 1.2332, Loss: 1.937, forward nfe 276, backward nfe 0, tmp_train: 0.3357, tmp_val: 0.1375, tmp_test: 0.1604, Train: 0.3357, Val: 0.1375, Test: 0.1604, Best time: 2.2400
Epoch: 3, Runtime: 1.7668, Loss: 1.891, forward nfe 460, backward nfe 0, tmp_train: 0.4857, tmp_val: 0.2066, tmp_test: 0.2355, Train: 0.4857, Val: 0.2066, Test: 0.2355, Best time: 2.2400
Epoch: 4, Runtime: 0.3845, Loss: 1.854, forward nfe 644, backward nfe 0, tmp_train: 0.5929, tmp_val: 0.2684, tmp_test: 0.3188, Train: 0.5929, Val: 0.2684, Test: 0.3188, Best time: 2.2400
Epoch: 5, Runtime: 0.3935, Loss: 1.796, forward nfe 828, backward nfe 0, tmp_train: 0.7929, tmp_val: 0.4574, tmp_test: 0.4944, Train: 0.7929, Val: 0.4574, Test: 0.4944, Best time: 2.2400
Epoch: 6, Runtime: 0.3976, Loss: 1.734, forward nfe 1012, backward nfe 0, tmp_train: 0.8643, tmp_val: 0.5485, tmp_test: 0.5756, Train: 0.8643, Val: 0.5485, Test: 0.5756, Best time: 2.2400
Epoch: 7, Runtime: 0.3663, Loss: 1.642, forward nfe 1196, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.5868, tmp_test: 0.6132, Train: 0.8714, Val: 0.5868, Test: 0.6132, Best time: 2.2400
Epoch: 8, Runtime: 0.3864, Loss: 1.598, forward nfe 1380, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.6000, tmp_test: 0.6355, Train: 0.8929, Val: 0.6000, Test: 0.6355, Best time: 2.2400
Epoch: 9, Runtime: 0.3943, Loss: 1.391, forward nfe 1564, backward nfe 0, tmp_train: 0.9286, tmp_val: 0.6515, tmp_test: 0.6721, Train: 0.9286, Val: 0.6515, Test: 0.6721, Best time: 2.2400
Epoch: 10, Runtime: 0.4101, Loss: 1.311, forward nfe 1748, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.7066, tmp_test: 0.7228, Train: 0.9357, Val: 0.7066, Test: 0.7228, Best time: 2.2400
Epoch: 11, Runtime: 0.3552, Loss: 1.199, forward nfe 1932, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7522, tmp_test: 0.7756, Train: 0.9571, Val: 0.7522, Test: 0.7756, Best time: 2.2400
Epoch: 12, Runtime: 0.3892, Loss: 1.097, forward nfe 2116, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7640, tmp_test: 0.7848, Train: 0.9714, Val: 0.7640, Test: 0.7848, Best time: 2.2400
Epoch: 13, Runtime: 0.3779, Loss: 1.021, forward nfe 2300, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7640, tmp_test: 0.7746, Train: 0.9714, Val: 0.7640, Test: 0.7848, Best time: 2.2400
Epoch: 14, Runtime: 0.3807, Loss: 0.963, forward nfe 2484, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7596, tmp_test: 0.7817, Train: 0.9714, Val: 0.7640, Test: 0.7848, Best time: 2.2400
Epoch: 15, Runtime: 0.3536, Loss: 0.966, forward nfe 2668, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7647, tmp_test: 0.7797, Train: 0.9714, Val: 0.7647, Test: 0.7797, Best time: 2.2400
Epoch: 16, Runtime: 0.3655, Loss: 0.909, forward nfe 2852, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7640, tmp_test: 0.7817, Train: 0.9714, Val: 0.7647, Test: 0.7797, Best time: 2.2400
Epoch: 17, Runtime: 0.3947, Loss: 0.846, forward nfe 3036, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7728, tmp_test: 0.7878, Train: 0.9786, Val: 0.7728, Test: 0.7878, Best time: 2.2400
Epoch: 18, Runtime: 0.3505, Loss: 0.646, forward nfe 3220, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7801, tmp_test: 0.7909, Train: 0.9857, Val: 0.7801, Test: 0.7909, Best time: 2.2400
Epoch: 19, Runtime: 0.3531, Loss: 0.736, forward nfe 3404, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7750, tmp_test: 0.7838, Train: 0.9857, Val: 0.7801, Test: 0.7909, Best time: 2.2400
Epoch: 20, Runtime: 0.3610, Loss: 0.693, forward nfe 3588, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7728, tmp_test: 0.7807, Train: 0.9857, Val: 0.7801, Test: 0.7909, Best time: 2.2400
Epoch: 21, Runtime: 0.3838, Loss: 0.758, forward nfe 3772, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7757, tmp_test: 0.7807, Train: 0.9857, Val: 0.7801, Test: 0.7909, Best time: 2.2400
Epoch: 22, Runtime: 0.3739, Loss: 0.638, forward nfe 3956, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7801, tmp_test: 0.7929, Train: 0.9857, Val: 0.7801, Test: 0.7909, Best time: 2.2400
