
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.01882477235894058, 'decay': 0.02466898106256942, 'dataset': 'texas', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'constant', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.4662723384814147, 'dropout': 0.4772766211800558, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.18, 'augment': False, 'method': 'rk4', 'step_size': 0.30000000000000004, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gat', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1703])
m1.bias
torch.Size([256])
m2.weight
torch.Size([5, 256])
m2.bias
torch.Size([5])
odeblock.odefunc.alpha_train
torch.Size([1, 256])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 256])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
/root/miniconda3/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: RK4: Unexpected arguments {'max_iters': 100}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 1, Runtime: 2.8634, Loss: 1.628, forward nfe 32, backward nfe 0, tmp_train: 0.5600, tmp_val: 0.7000, tmp_test: 0.6386, Train: 0.5600, Val: 0.7000, Test: 0.6386, Best time: 2.1800
Epoch: 2, Runtime: 0.7707, Loss: 1.375, forward nfe 96, backward nfe 0, tmp_train: 0.4800, tmp_val: 0.1200, tmp_test: 0.1807, Train: 0.5600, Val: 0.7000, Test: 0.6386, Best time: 2.1800
Epoch: 3, Runtime: 0.7807, Loss: 1.459, forward nfe 160, backward nfe 0, tmp_train: 0.7400, tmp_val: 0.7400, tmp_test: 0.6747, Train: 0.7400, Val: 0.7400, Test: 0.6747, Best time: 2.1800
Epoch: 4, Runtime: 0.7406, Loss: 0.795, forward nfe 224, backward nfe 0, tmp_train: 0.7800, tmp_val: 0.5600, tmp_test: 0.4940, Train: 0.7400, Val: 0.7400, Test: 0.6747, Best time: 2.1800
Epoch: 5, Runtime: 1.0131, Loss: 0.829, forward nfe 288, backward nfe 0, tmp_train: 0.9400, tmp_val: 0.6400, tmp_test: 0.6265, Train: 0.7400, Val: 0.7400, Test: 0.6747, Best time: 2.1800
Epoch: 6, Runtime: 0.7955, Loss: 0.572, forward nfe 352, backward nfe 0, tmp_train: 0.8600, tmp_val: 0.7000, tmp_test: 0.6145, Train: 0.7400, Val: 0.7400, Test: 0.6747, Best time: 2.1800
Epoch: 7, Runtime: 0.7786, Loss: 0.562, forward nfe 416, backward nfe 0, tmp_train: 0.9600, tmp_val: 0.5800, tmp_test: 0.6145, Train: 0.7400, Val: 0.7400, Test: 0.6747, Best time: 2.1800
Epoch: 8, Runtime: 0.7656, Loss: 0.464, forward nfe 480, backward nfe 0, tmp_train: 0.9400, tmp_val: 0.5200, tmp_test: 0.6024, Train: 0.7400, Val: 0.7400, Test: 0.6747, Best time: 2.1800
Epoch: 9, Runtime: 0.7642, Loss: 0.492, forward nfe 544, backward nfe 0, tmp_train: 0.9800, tmp_val: 0.5600, tmp_test: 0.6024, Train: 0.7400, Val: 0.7400, Test: 0.6747, Best time: 2.1800
Epoch: 10, Runtime: 0.8903, Loss: 0.353, forward nfe 608, backward nfe 0, tmp_train: 0.9600, tmp_val: 0.7200, tmp_test: 0.7108, Train: 0.7400, Val: 0.7400, Test: 0.6747, Best time: 2.1800
Epoch: 11, Runtime: 0.7812, Loss: 0.378, forward nfe 672, backward nfe 0, tmp_train: 0.9800, tmp_val: 0.7600, tmp_test: 0.6747, Train: 0.9800, Val: 0.7600, Test: 0.6747, Best time: 2.1800
Epoch: 12, Runtime: 0.8180, Loss: 0.354, forward nfe 736, backward nfe 0, tmp_train: 0.9800, tmp_val: 0.6000, tmp_test: 0.6265, Train: 0.9800, Val: 0.7600, Test: 0.6747, Best time: 2.1800
Epoch: 13, Runtime: 0.7704, Loss: 0.336, forward nfe 800, backward nfe 0, tmp_train: 0.9800, tmp_val: 0.5600, tmp_test: 0.6024, Train: 0.9800, Val: 0.7600, Test: 0.6747, Best time: 2.1800
Epoch: 14, Runtime: 0.8435, Loss: 0.320, forward nfe 864, backward nfe 0, tmp_train: 0.9600, tmp_val: 0.6400, tmp_test: 0.6506, Train: 0.9800, Val: 0.7600, Test: 0.6747, Best time: 2.1800
Epoch: 15, Runtime: 0.8342, Loss: 0.291, forward nfe 928, backward nfe 0, tmp_train: 0.9600, tmp_val: 0.7200, tmp_test: 0.6867, Train: 0.9800, Val: 0.7600, Test: 0.6747, Best time: 2.1800
Epoch: 16, Runtime: 0.7519, Loss: 0.389, forward nfe 992, backward nfe 0, tmp_train: 0.9800, tmp_val: 0.5600, tmp_test: 0.6024, Train: 0.9800, Val: 0.7600, Test: 0.6747, Best time: 2.1800
Epoch: 17, Runtime: 0.7987, Loss: 0.298, forward nfe 1056, backward nfe 0, tmp_train: 0.9400, tmp_val: 0.3600, tmp_test: 0.5422, Train: 0.9800, Val: 0.7600, Test: 0.6747, Best time: 2.1800
Epoch: 18, Runtime: 0.7851, Loss: 0.418, forward nfe 1120, backward nfe 0, tmp_train: 0.9800, tmp_val: 0.5800, tmp_test: 0.6386, Train: 0.9800, Val: 0.7600, Test: 0.6747, Best time: 2.1800
Epoch: 19, Runtime: 0.7975, Loss: 0.320, forward nfe 1184, backward nfe 0, tmp_train: 0.9600, tmp_val: 0.7000, tmp_test: 0.6867, Train: 0.9800, Val: 0.7600, Test: 0.6747, Best time: 2.1800
Epoch: 20, Runtime: 0.7697, Loss: 0.498, forward nfe 1248, backward nfe 0, tmp_train: 0.9600, tmp_val: 0.6600, tmp_test: 0.6386, Train: 0.9800, Val: 0.7600, Test: 0.6747, Best time: 2.1800
Epoch: 21, Runtime: 0.7551, Loss: 0.426, forward nfe 1312, backward nfe 0, tmp_train: 0.9600, tmp_val: 0.5600, tmp_test: 0.6265, Train: 0.9800, Val: 0.7600, Test: 0.6747, Best time: 2.1800
